연번,인증번호,인증구분,인증등급,지역코드,시군구,지역(시설)명,인증대상,신청기관,면적,용도구분,인증일자,인증만료일,인증기관
11233,7066,예비,우수,경기도,양평군,몽양기념관 부속시설,건축물,양평군청,997.25,문화 및 집회시설,2022-06-03,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11234,4168,본,우수,충청남도,천안시,천안꽃마루유치원,건축물,충청남도천안교육지원청,4708.7,교육연구시설,2022-06-03,2032-06-02,한국교육녹색환경연구원
11235,4169,본,우수,광주광역시,남구,봉선2어린이공원 화장실,건축물,광주광역시 남구청,23.91,제1종 근린생활시설,2022-06-03,2032-06-02,한국생산성본부인증원
11236,4170,본,우수,부산광역시,사하구,장림문화복지센터,건축물,부산광역시 사하구청,744.3,노유자시설,2022-06-07,2032-06-06,한국장애인개발원
11237,7067,예비,우수,경상북도,봉화군,경상북도 봉화교육지원청,건축물,경상북도봉화교육청,2679.68,업무시설,2022-06-07,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11238,4171,본,우수,광주광역시,광산구,신창동 유적 선사체험학습관,건축물,광주광역시청,2259.13,문화 및 집회시설,2022-06-07,2032-06-06,(사)한국녹색기후기술원
11239,4172,본,우수,부산광역시,기장군,이천 수산물직매장,건축물,부산광역시 기장군,223.44,제1종 근린생활시설,2022-06-07,2032-06-06,한국장애인개발원
11240,4173,본,우수,대구광역시,달서구,대구한솔초등학교(재인증),건축물,대구한솔초등학교,11823.57,교육연구시설,2022-06-07,2032-06-06,한국장애인개발원
11241,4174,본,우수,울산광역시,동구,남목도서관,건축물,울산광역시 동구청,954.01,제1종 근린생활시설,2022-06-07,2032-06-06,한국장애인개발원
11242,7068,예비,우수,경기도,화성시,화성동탄(1) 2단계 문화공원 1호 내 관리사무소 및 공중화장실,건축물,한국토지주택공사,846.32,제1종 근린생활시설,2022-06-07,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11243,7069,예비,우수,경기도,화성시,화성동탄(1) 2단계 근린공원 16호 내 관리사무소 및 공중화장실,건축물,한국토지주택공사,131.04,제1종 근린생활시설,2022-06-07,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11244,7070,예비,우수,광주광역시,북구,북광주 세무서 청사,건축물,북광주세무서,9319.37,업무시설,2022-06-08,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11245,7071,예비,우수,부산광역시,수영구,남천2구역(비치아파트)재건축정비사업조합 문화시설,건축물,남천2구역(비치아파트)재건축정비사업조합,5388.83,문화 및 집회시설,2022-06-08,본인증 교부전 또는 사용승인 후 1년 이내,한국교육녹색환경연구원
11246,4175,본,우수,충청북도,충주시,충주시 보건소 상시 선별진료소 및 호흡기센터,건축물,충주시청,177.6,제1종 근린생활시설,2022-06-08,2032-06-07,한국생산성본부인증원
11247,7072,예비,우수,세종특별자치시,,소정문화센터,건축물,세종특별자치시,664.33,제1종 근린생활시설,2022-06-08,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
11248,4176,본,우수,서울특별시,송파구,한국체육대학교 도서관(학생회관),건축물,한국체육대학교,11437.5,교육연구시설,2022-06-08,2032-06-07,(사)한국녹색기후기술원
11249,7073,예비,우수,대전광역시,유성구,작은내수변공원 내 복합체육센터,건축물,대전광역시,4415.53,운동시설,2022-06-08,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
11250,7074,예비,우수,경상북도,김천시,지역거점 드론 실기시험장,건축물,한국교통안전공단,2947.9,교육연구시설,2022-06-08,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11251,7075,예비,우수,광주광역시,광산구,하남지구 시립도서관,건축물,광주광역시청,6895.94,교육연구시설,2022-06-08,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11252,4177,본,우수,충청남도,예산군,예산꿈빛학교,건축물,충청남도교육청,12344.22,교육연구시설,2022-06-08,2032-06-07,한국생산성본부인증원
11253,4178,본,우수,전라남도,여수시,여수경찰서 동문파출소 신축공사,건축물,전라남도지방경찰청,256.12,제1종 근린생활시설,2022-06-09,2032-06-08,한국장애인개발원
11254,4179,본,우수,전라남도,순천시,해룡면 율리마을 경로당,건축물,순천시청,69.93,제1종 근린생활시설,2022-06-09,2032-06-08,한국장애인개발원
11255,4180,본,우수,전라남도,순천시,순천시보건소 상시선별진료소,건축물,순천시청,171.5,제1종 근린생활시설,2022-06-09,2032-06-08,한국장애인개발원
11256,4181,본,우수,전라남도,순천시,순천시 실버 주야간보호센터,건축물,순천시청,462.7,노유자시설,2022-06-09,2032-06-08,한국장애인개발원
11257,7076,예비,우수,전라남도,장성군,내장산백암 백암주차장 공중화장실,건축물,국립공원공단 내장산국립공원백암사무소,59.72,제1종 근린생활시설,2022-06-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11258,4182,본,우수,전라남도,담양군,담양 역사문화공원 화장실,건축물,담양군청,50.4,제1종 근린생활시설,2022-06-09,2032-06-08,한국장애인개발원
11259,7077,예비,우수,경기도,화성시,화성 반다비 체육센터,건축물,화성시청,2994.97,운동시설,2022-06-09,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11260,7078,예비,우수,경기도,군포시,당말 멀티파크 조성공사,건축물,경기도 군포시청,2211.38,자동차 관련 시설,2022-06-09,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11261,7079,예비,우수,경기도,부천시,신흥시장 공영주차장 조성공사,건축물,경기도 부천시청,3753.88,자동차 관련 시설,2022-06-09,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11262,7080,예비,우수,경상남도,통영시,하도 능양마을 복지회관,건축물,통영시청,131.56,제1종 근린생활시설,2022-06-10,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
11263,4183,본,우수,전라북도,고창군,동호항 체험센터 및 마을전시관,건축물,고창군청,369.02,제1종 근린생활시설,2022-06-10,2032-06-09,한국장애인고용공단
11264,4184,본,우수,충청남도,금산군,금산군 치매커뮤니티센터,건축물,충청남도 금산군 보건소,844.22,제1종 근린생활시설,2022-06-10,2032-06-09,한국교육녹색환경연구원
11265,4185,본,우수,대구광역시,달서구,선돌마당공원 화장실,건축물,㈜에이치비산업개발,57.55,제1종 근린생활시설,2022-06-10,2032-06-09,한국생산성본부인증원
11266,7081,예비,우수,강원특별자치도,양구군,양구종합스포츠타운 실내테니스장,건축물,강원도개발공사,4993.95,운동시설,2022-06-10,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11267,7082,예비,우수,전라남도,나주시,영산포역사 문화체험전시관 조성사업,건축물,나주시청,6074.75,문화 및 집회시설,2022-06-10,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11268,7083,예비,우수,강원특별자치도,태백시,태백시 창업지원센터,건축물,태백시청,388.97,제2종 근린생활시설,2022-06-13,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11269,4186,본,우수,전라북도,군산시,대야면 노인복지관,건축물,군산시청,870.05,노유자시설,2022-06-13,2032-06-12,(사)한국녹색기후기술원
11270,7084,예비,우수,경기도,광주시,(가칭)쌍동초등학교,건축물,경기도광주하남교육지원청,12038.46,교육연구시설,2022-06-13,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11271,4187,본,우수,경기도,용인시,용인다움학교,건축물,경기도교육청,12010.05,교육연구시설,2022-06-13,2032-06-12,한국교육녹색환경연구원
11272,7085,예비,우수,경상북도,성주군,선남 반다비문화체육센터,건축물,성주군체육시설사업소,3836.68,운동시설,2022-06-13,본인증 교부전 또는 사용승인 후 1년 이내,한국교육녹색환경연구원
11273,7086,예비,우수,인천광역시,남동구,인천지방경찰청 인천남동경찰서 신축공사,건축물,인천광역시경찰청,16047,업무시설,2022-06-13,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11274,7087,예비,우수,전라남도,고흥군,고흥 팔영대교 스마트복합쉼터,건축물,고흥군청,917.48,관광휴게시설,2022-06-13,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11275,4188,본,우수,강원특별자치도,홍천군,내면 공공도서관,건축물,홍천군청,696.1,제1종 근린생활시설,2022-06-13,2032-06-12,한국장애인개발원
11276,7088,예비,우수,경상남도,밀양시,삼랑진읍 행정복지센터 및 문화센터,건축물,밀양시청,2216.47,업무시설,2022-06-14,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11277,4189,본,우수,충청남도,아산시,한들물빛유치원,건축물,충청남도아산교육지원청 시설지원센터,5303.6,교육연구시설,2022-06-14,2032-06-13,한국부동산원
11278,7089,예비,일반,제주특별자치도,제주시,화북1동 2130-6번지 공영주차장 복층화사업,건축물,제주시청 차량관리과,2992.42,자동차 관련 시설,2022-06-14,본인증 교부전 또는 사용승인 후 1년 이내,한국부동산원
11279,7090,예비,우수,대전광역시,중구,상당경로당 신축공사,건축물,대전광역시 중구청,129.56,노유자시설,2022-06-14,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11280,7091,예비,일반,전라북도,전주시,전주 육상경기장 건립사업,건축물,전주시청,8869.18,문화 및 집회시설,2022-06-14,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11281,7092,예비,우수,전라북도,김제시,지평선벽골제 다목적 체육관,건축물,김제시청,1722.84,운동시설,2022-06-14,본인증 교부전 또는 사용승인 후 1년 이내,한국교육녹색환경연구원
11282,4190,본,우수,경기도,안양시,안양명학 행복주택 지역자치센터,건축물,한국토지주택공사 경기지역본부,496.5,제1종 근린생활시설,2022-06-14,2032-06-13,한국교육녹색환경연구원
11283,4191,본,일반,경기도,안양시,안양명학 행복주택 공영주차장,건축물,한국토지주택공사 경기지역본부,4628.41,자동차 관련 시설,2022-06-14,2032-06-13,한국교육녹색환경연구원
11284,7093,예비,우수,강원특별자치도,태백시,ECO JOB CITY 통합 문화플랫폼 건립공사,건축물,태백시청,975.75,제1종 근린생활시설,2022-06-14,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11285,4192,본,우수,전라남도,무안군,남악신도시 자전거공원 공중화장실,건축물,무안군청,46.29,제1종 근린생활시설,2022-06-14,2032-06-13,한국장애인개발원
11286,4193,본,우수,광주광역시,북구,빛고을 국민안전체험관,건축물,광주광역시청,7860.09,문화 및 집회시설,2022-06-14,2032-06-13,한국장애인개발원
11287,4194,본,우수,광주광역시,서구,광주 서구 유덕 하나어린이집,건축물,광주광역시 서구청,747.6,노유자시설,2022-06-14,2032-06-13,한국장애인개발원
11288,4195,본,우수,전라남도,장성군,국립농산물품질관리원 전남지원 장성사무소,건축물,농림축산식품부 국립농산물품질관리원 전남지원,617.82,제1종 근린생활시설,2022-06-14,2032-06-13,한국장애인개발원
11289,7094,예비,우수,전라북도,부안군,부안군 건강생활지원센터 건립공사,건축물,부안군청,848.75,제1종 근린생활시설,2022-06-14,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11290,4196,본,우수,부산광역시,동래구,온샘초등학교 교사 신축공사,건축물,부산광역시교육청,11017.21,교육연구시설,2022-06-15,2032-06-14,한국교육녹색환경연구원
11291,4197,본,우수,경기도,성남시,정자동 공영주차장,건축물,성남시청,4397.3,자동차 관련 시설,2022-06-15,2032-06-14,한국교육녹색환경연구원
11292,4198,본,우수,경상북도,상주시,거꾸로 옛 이야기나라 숲 조성사업 이야기 공작소,건축물,상주시청,2124.89,문화 및 집회시설,2022-06-15,2032-06-14,한국교육녹색환경연구원
11293,7095,예비,우수,서울특별시,송파구,덕수고등학교 야구부 기숙사 증축,건축물,서울특별시강동송파교육지원청,731.55,공동주택,2022-06-15,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11294,7096,예비,우수,광주광역시,서구,서구 공립치매전담형 복합요양시설,건축물,광주광역시 서구청,1993.28,노유자시설,2022-06-16,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11295,4199,본,우수,경기도,화성시,매향리 평화기념관,건축물,화성시청,4099.44,문화 및 집회시설,2022-06-16,2032-06-15,한국생산성본부인증원
11296,4200,본,우수,경기도,남양주시,다산꽃다비 유치원,건축물,경기도구리남양주교육지원청,3711.95,교육연구시설,2022-06-16,2032-06-15,한국교육녹색환경연구원
11297,4201,본,우수,충청남도,아산시,한들물빛초등학교,건축물,충청남도아산교육지원청,18186.65,교육연구시설,2022-06-16,2032-06-15,한국교육녹색환경연구원
11298,7097,예비,우수,충청북도,괴산군,괴산스포츠타운,건축물,괴산군청,5384.55,운동시설,2022-06-16,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11299,4202,본,우수,전라북도,익산시,상생협력상가 및 상생마당,건축물,익산시청,195,제1종 근린생활시설,2022-06-16,2032-06-15,한국장애인고용공단
11300,4203,본,우수,강원특별자치도,삼척시,도계읍 전두3리 경로당,건축물,삼척시청,97.62,노유자시설,2022-06-16,2032-06-15,한국생산성본부인증원
11301,7098,예비,우수,대구광역시,서구,내당.평리권역 도서관 건립공사,건축물,대구광역시 서구청,1692.94,교육연구시설,2022-06-16,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11302,4204,본,우수,강원특별자치도,인제군,용대3리 경로당,건축물,인제군청,185.27,노유자시설,2022-06-16,2032-06-15,한국환경건축연구원
11303,4205,본,우수,제주특별자치도,서귀포시,서귀포시 성산읍 수산2리 복지회관,건축물,수산2리 마을회,841.5,제1종 근린생활시설,2022-06-16,2032-06-15,한국환경건축연구원
11304,7099,예비,우수,대전광역시,중구,경로당 신축공사(부사경로당),건축물,대전광역시 중구청장,96.18,노유자시설,2022-06-16,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11305,7100,예비,우수,인천광역시,남동구,인천애뜰 공영주차장 설치공사,건축물,인천광역시청,22392.52,자동차 관련 시설,2022-06-16,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11306,7101,예비,우수,경기도,김포시,(가칭)운양1초중 교사신축공사,건축물,경기도김포교육지원청,20718.78,교육연구시설,2022-06-17,본인증 교부전 또는 사용승인 후 1년 이내,한국교육녹색환경연구원
11307,7102,예비,우수,충청북도,청주시,(가칭)오송2유치원 신축공사,건축물,충청북도교육청,5171.3,교육연구시설,2022-06-17,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11308,4206,본,우수,경상남도,창녕군,창녕군치매전담요양원,건축물,창녕군청,2651.49,노유자시설,2022-06-17,2032-06-16,한국생산성본부인증원
11309,4207,본,우수,광주광역시,북구,국립광주과학관 어린이과학관,건축물,국립광주과학관,3382.71,문화 및 집회시설,2022-06-17,2032-06-16,한국생산성본부인증원
11310,7103,예비,우수,충청남도,당진시,(가칭) 중앙초등학교 교사 신축공사,건축물,충청남도당진교육지원청,16921.26,교육연구시설,2022-06-20,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11311,4208,본,우수,대구광역시,동구,안심뉴타운 근린공원 공중화장실,건축물,대구도시공사,151.7,제1종 근린생활시설,2022-06-20,2032-06-19,한국장애인개발원
11312,7104,예비,우수,전라북도,남원시,남원시 도통지구 주차타워,건축물,남원시청,5933.06,자동차 관련 시설,2022-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11313,7105,예비,우수,제주특별자치도,제주시,(가칭)유아체험교육원,건축물,제주특별자치도교육청,2999.72,교육연구시설,2022-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11314,7106,예비,우수,충청남도,당진시,(가칭) 수청중학교 교사 신축공사,건축물,충청남도당진교육지원청,14086.44,교육연구시설,2022-06-20,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11315,7107,예비,우수,대구광역시,남구,"선사유적공원 관리실, 화장실 정비공사",건축물,대구광역시 달서구청,83.79,제1종 근린생활시설,2022-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11316,7108,예비,우수,경상남도,남해군,서면보건지소,건축물,남해군보건소,342.42,제1종 근린생활시설,2022-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
11317,7109,예비,일반,경기도,화성시,동탄2 호수공원 주69 공영주차장,건축물,화성시청,14301.1,자동차 관련 시설,2022-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
11318,4209,본,우수,경상남도,통영시,통영경찰서 중앙파출소,건축물,경상남도지방경찰청,328.82,제1종 근린생활시설,2022-06-20,2032-06-19,한국장애인개발원
11319,7110,예비,우수,제주특별자치도,서귀포시,서귀포시 남원읍 문화체육복합센터,건축물,서귀포시청,7410.98,운동시설,2022-06-20,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11320,7111,예비,우수,광주광역시,서구,송당경로당  생활SOC복합시설,건축물,광주광역시 서구청,360,노유자시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11321,7112,예비,우수,전라남도,순천시,순천어울림센터,건축물,순천시청,6759.82,운동시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11322,7113,예비,우수,제주특별자치도,제주시,제주시 서부지역 복합체육관 건립사업,건축물,제주특별자치도청,8402.49,운동시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11323,7114,예비,우수,인천광역시,계양구,학마을어린이공원 공중화장실,건축물,계양구청,45.9,제1종 근린생활시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11324,7115,예비,우수,전라남도,강진군,도시재생 인정사업 맘편한센터,건축물,강진군청,2508.81,제1종 근린생활시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,한국교육녹색환경연구원
11325,7116,예비,우수,인천광역시,계양구,초정어린이공원 공중화장실,건축물,계양구청,45.9,제1종 근린생활시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11326,7117,예비,우수,인천광역시,계양구,은행어린이공원 공중화장실,건축물,계양구청,45.9,제1종 근린생활시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11327,4210,본,우수,경기도,의왕시,백운밸리 커뮤니티Ⅱ,건축물,의왕백운프로젝트금융투자(주),645.41,노유자시설,2022-06-21,2032-06-20,한국환경건축연구원
11328,7118,예비,우수,서울특별시,금천구,금천 진로진학지원센터,건축물,금천구청,954.9,제1종 근린생활시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11329,7119,예비,우수,대구광역시,달성군,달성군민운동장 관리사무소 및 공중화장실 신축공사,건축물,대구광역시 달성군청,108.8,제1종 근린생활시설,2022-06-21,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11330,4211,본,우수,경기도,용인시,용인 처인성역사교육관,건축물,용인시청,999.64,교육연구시설,2022-06-21,2032-06-20,(사)한국녹색기후기술원
11331,4212,본,우수,강원특별자치도,양구군,해안면 건강증진형 보건지소,건축물,양구군청,809.97,제1종 근린생활시설,2022-06-21,2032-06-20,한국환경건축연구원
11332,7120,예비,일반,서울특별시,동작구,동작구 구립 대방아이꿈(하나) 어린이집,건축물,동작구청,481.17,노유자시설,2022-06-22,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
11333,4213,본,우수,경상남도,김해시,김해시립요양원,건축물,김해시청 건축과,2436.04,노유자시설,2022-06-22,2032-06-21,한국부동산원
11334,7121,예비,우수,제주특별자치도,제주시,노형동 1043-1번지 공영주차장 복층화사업,건축물,제주시청 차량관리과,2644.36,자동차 관련 시설,2022-06-22,본인증 교부전 또는 사용승인 후 1년 이내,한국부동산원
11335,7122,예비,우수,서울특별시,도봉구,서울아레나 복합문화시설,건축물,케이디비인프라자산운용 주식회사,119218.29,문화 및 집회시설,2022-06-22,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11336,7123,예비,우수,경상북도,문경시,광부아트갤러리,건축물,문경시청 도시재생과,282.77,문화 및 집회시설,2022-06-22,본인증 교부전 또는 사용승인 후 1년 이내,한국부동산원
11337,7124,예비,우수,강원특별자치도,평창군,방림지대 의용소방대 사무실,건축물,강원도 평창군청 안전교통과,65.07,제1종 근린생활시설,2022-06-22,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11338,7125,예비,우수,대구광역시,동구,대구동부경찰서 신암2 경찰지구대,건축물,신암2 재정비촉진구역 주택재개발 정비사업조합,532.3,제1종 근린생활시설,2022-06-22,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11339,4214,본,우수,서울특별시,서대문구,서대문구 보훈회관,건축물,서대문구청,896.04,제1종 근린생활시설,2022-06-22,2032-06-21,한국장애인고용공단
11340,4215,본,우수,서울특별시,동대문구,영등포경찰서 신길지구대,건축물,남서울경전철 주식회사(기부체납),425.8,제1종 근린생활시설,2022-06-22,2032-06-21,한국부동산원
11341,7126,예비,우수,경기도,안산시,안산마음건강센터,건축물,보건복지부,9081.9,교육연구시설,2022-06-22,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11342,7127,예비,우수,부산광역시,부산진구,당감복합 공공도서관,건축물,부산진구청,1370.04,교육연구시설,2022-06-22,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11343,7128,예비,우수,충청남도,보령시,원도심 복합업무타운,건축물,보령시청,16508.88,업무시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11344,7129,예비,우수,전라북도,완주군,구이 수상 레포츠 센터,건축물,완주군청,815.07,제1종 근린생활시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11345,7130,예비,우수,경기도,양주시,북한산도봉 자연학습장[체험학습관],건축물,국립공원공단 북한산국립공원도봉사무소,939,관광휴게시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11346,7131,예비,우수,대전광역시,유성구,유성구 방동4통 경로당,건축물,대전광역시 유성구청,127.53,노유자시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
11347,7132,예비,우수,경상남도,양산시,황산마을 공영주차장,건축물,양산시장,4523.51,자동차 관련 시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11348,7133,예비,우수,강원특별자치도,삼척시,복합노인복지관 건립사업,건축물,삼척시청,2986.26,노유자시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11349,7134,예비,우수,강원특별자치도,평창군,평창강 물환경체험센터,건축물,평창군청,733.28,문화 및 집회시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11350,7135,예비,우수,강원특별자치도,평창군,평창에코랜드,건축물,평창군청,1429.43,문화 및 집회시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,한국환경건축연구원
11351,7136,예비,우수,서울특별시,강서구,방화근린공원 천문우주과학관 신축공사,건축물,강서구청,888.84,교육연구시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11352,7137,예비,우수,경상남도,창원시,흰돌메공원 공중화장실,건축물,창원시 진해구청,55.5,제1종 근린생활시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11353,4216,본,우수,경기도,안양시,안양7동 공영주차장,건축물,안양시청,3897.04,자동차 관련 시설,2022-06-23,2032-06-22,한국장애인고용공단
11354,4217,본,우수,대전광역시,동구,성남동 다목적체육관,건축물,대전광역시 동구,1826.94,운동시설,2022-06-23,2032-06-22,한국장애인고용공단
11355,7138,예비,우수,경상남도,거창군,거창읍 거점 공영주차장 공중화장실,건축물,거창군청,25.56,제1종 근린생활시설,2022-06-23,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11356,7139,예비,우수,전라북도,전주시,전라북도립국악원 증·개축공사,건축물,전라북도립국악원,6185.6,교육연구시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11357,4218,본,우수,경상남도,통영시,산양읍 관유경로당,건축물,통영시청,79.57,노유자시설,2022-06-24,2032-06-23,한국생산성본부인증원
11358,7140,예비,우수,경기도,양주시,덕계공원 주차타워 건립공사,건축물,양주시청,4397.53,자동차 관련 시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11359,7141,예비,우수,경기도,구리시,수택2동 행정복지센터 및 공용주차장,건축물,구리시청,6521.55,업무시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국교육녹색환경연구원
11360,7142,예비,우수,경상북도,구미시,원평동 마을센터,건축물,구미시청,416.91,제1종 근린생활시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11361,7143,예비,우수,전라남도,구례군,구례5일시장 지역자치센터,건축물,구례군청,321.82,제1종 근린생활시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11362,7144,예비,우수,전라남도,영광군,황토구뎅이마을 남자경로당,건축물,한국농어촌공사 영광지사,390.28,노유자시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국생산성본부인증원
11363,7145,예비,우수,전라남도,목포시,국립호남권 생물자원관 한국섬온실,건축물,국립호남권생물자원관,990.03,문화 및 집회시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11364,7146,예비,우수,전라남도,영광군,한빛원전 환경안전 감시센터 신축공사,건축물,영광군,882.79,교육연구시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11365,7147,예비,우수,전라북도,무주군,무주 군립요양병원 건립사업,건축물,무주군,5129.66,의료시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11366,7148,예비,우수,전라남도,영광군,낙월도 식당 신축공사,건축물,영광군,335.02,제1종 근린생활시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11367,7149,예비,우수,광주광역시,서구,벚꽃 향기 가득한 농성 공동체 마을 거점형 복지관(새마을경로당),건축물,광주광역시 서구청,75.44,노유자시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11368,7150,예비,우수,광주광역시,서구,벚꽃 향기 가득한 농성 공동체 마을 거점형 복지관(연강경로당),건축물,광주광역시 서구청,73.93,노유자시설,2022-06-24,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
11369,4219,본,우수,제주특별자치도,제주시,우도 하고수동 해수욕장 상황실,건축물,제주시청,148.76,제1종 근린생활시설,2022-06-24,2032-06-23,한국장애인개발원
11370,4220,본,우수,전라남도,여수시,화정면 제도 여객선 대기소 화장실,건축물,여수시청,25.41,제1종 근린생활시설,2022-06-27,2032-06-26,한국장애인개발원
11371,7151,예비,우수,경상남도,함안군,경남 119특수구조단,건축물,경상남도청,3754.57,업무시설,2022-06-27,본인증 교부전 또는 사용승인 후 1년 이내,한국교육녹색환경연구원
11372,4221,본,우수,충청남도,논산시,소상공인 청년창업 등 사회적 경제통합지원센터,건축물,충청남도 논산시청,652.53,제1종 근린생활시설,2022-06-27,2032-06-26,한국장애인개발원
11373,7152,예비,우수,경상남도,창원시,무동초등학교 교사증축공사,건축물,(주)남양종합개발,1672.95,교육연구시설,2022-06-28,본인증 교부전 또는 사용승인 후 1년 이내,(사)한국녹색기후기술원
11374,4222,본,우수,인천광역시,연수구,인천현송중학교,건축물,인천광역시교육청,15459.77,교육연구시설,2022-06-28,2032-06-27,한국교육녹색환경연구원
