연번,인증번호,인증구분,인증등급,지역코드,시군구,지역(시설)명,인증대상,신청기관,면적,용도구분,인증일자,인증만료일,인증기관
491,128,본,우수,인천광역시,강화군,강화고인돌체육관,건축물,인천광역시청,16204.72,문화 및 집회시설,2014-09-05,2019-09-04,한국장애인개발원
492,129,본,우수,대전광역시,유성구,유성구 온천2동 주민센터,건축물,대전시 유성구청,2184.62,업무시설,2014-09-11,2019-09-10,한국장애인개발원
493,364,예비,우수,인천광역시,중구,(가칭)영종역사관,건축물,인천시 중구청,2927.78,문화 및 집회시설,2014-09-12,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
494,365,예비,우수,광주광역시,남구,광주광역시 남구 장애인 복지관,건축물,광주시 남구청,1687.85,노유자시설,2014-09-12,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
495,366,예비,우수,전라남도,장흥군,목재산업지원센터,건축물,전남 장흥군청,2873.33,교육연구시설,2014-09-12,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
496,130,본,우수,인천광역시,연수구,옥련국제사격장,건축물,인천광역시청,9988.97,운동시설,2014-09-15,2019-09-14,한국장애인개발원
497,131,본,우수,인천광역시,연수구,송도동 복합문화시설,건축물,인천시 연수구청,7031.81,업무시설,2014-09-15,2019-09-14,한국장애인개발원
498,367,예비,우수,전라남도,영광군,영광실업고등학교,건축물,전라남도 교육청,16639.51,교육연구시설,2014-09-16,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
499,132,본,우수,인천광역시,부평구,"열우물 테니스 경기장, 열우물 스쿼시 경기장",건축물,인천광역시청,26723.25,문화 및 집회시설,2014-09-17,2019-09-16,한국장애인개발원
500,133,본,우수,인천광역시,연수구,"선학하키경기장, 선학체육관",건축물,인천광역시청,13151.38,문화 및 집회시설,2014-09-18,2019-09-17,한국장애인개발원
501,368,예비,우수,경기도,부천시,중1동 국공립어린이집,건축물,부천시청,600.2,노유자시설,2014-09-19,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
502,134,본,최우수,전라남도,해남군,해남군 보건소,건축물,전남 해남군청,8393,업무시설,2014-09-22,2019-09-21,한국장애인개발원
503,135,본,최우수,서울특별시,양천구,신월종합사회복지관,건축물,서울 양천구청,3877.21,노유자시설,2014-09-22,2019-09-21,한국장애인개발원
504,369,예비,최우수,서울특별시,노원구,월계동 제2 구민체육센터,건축물,노원구청,7996.85,운동시설,2014-09-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
505,370,예비,우수,인천광역시,연수구,연수1동 주민센터,건축물,연수구청,4107.32,업무시설,2014-09-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
506,371,예비,우수,대전광역시,유성구,유성구 관평도서관,건축물,유성구 평생학습원,1705.96,교육연구시설,2014-10-07,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
507,372,예비,우수,전라남도,신안군,기숙형중' 비금중학교,건축물,전남교육청,9659.75,교육연구시설,2014-10-08,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
508,136,본,우수,울산광역시,남구,울산 문수로2차 I'PARK 1단지,건축물,현대산업개발,110373.43,공동주택,2014-10-08,2019-10-07,한국장애인개발원
509,137,본,우수,울산광역시,남구,울산 문수로2차 I'PARK 2단지,건축물,현대산업개발,90788.12,공동주택,2014-10-08,2019-10-07,한국장애인개발원
510,373,예비,우수,제주특별자치도,서귀포시,위앤미 감귤가공공장,건축물,위엔미감귤가공공장(임수헌),736.04,공장,2014-10-13,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
511,138,본,우수,전라남도,순천시,신대유치원,건축물,전남교육청,3028.3,교육연구시설,2014-10-17,2019-10-16,한국장애인개발원
512,139,본,우수,대전광역시,중구,목동복합커뮤니티센터,건축물,대전시 중구청,2743.64,제1종 근린생활시설,2014-10-17,2019-10-16,한국장애인개발원
513,140,본,최우수,경상북도,김천시,김천녹색미래과학관,건축물,김천에코그린㈜,7370.47,문화 및 집회시설,2014-10-21,2019-10-20,한국장애인개발원
514,141,본,우수,경상북도,김천시,김천부항다목적댐물문화관,건축물,한국수자원공사,1348.02,문화 및 집회시설,2014-10-24,2019-10-23,한국장애인개발원
515,142,본,우수,전라남도,여수시,여수 여명학교,건축물,전남 교육청,,교육연구시설,2014-10-31,2019-10-30,한국토지주택공사
516,143,본,최우수,서울특별시,강서구,마곡 엠밸리 15단지,건축물,서울시 SH공사,174422.02,공동주택,2014-11-03,2019-11-02,한국장애인개발원
517,374,예비,우수,경기도,부천시,부천문화원,건축물,경기도 부천시청,7213.08,교육연구시설,2014-11-05,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
518,375,예비,최우수,서울특별시,송파구,성동교정시설,건축물,서울시 SH공사,74126.05,교정시설 및 군사시설,2014-11-05,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
519,144,본,우수,경기도,수원시,환경성질환(아토피)센터,건축물,수원시청,2548.16,수련시설,2014-11-05,2019-11-04,한국장애인개발원
520,376,예비,최우수,경기도,성남시,성남~여주 복선전철 이매역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
521,377,예비,최우수,경기도,광주시,성남~여주 복선전철 삼동역사,여객시설,한국철도시설공단,,운수시설,2014-11-17,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
